Domains and Topics,Description,Short description,Unfamiliar,Remember,Understand,Apply,Analyse,Evaluate,Create,N/A
9.1 Theoretical principles of adult learning,"Grounding pathogen genomics training in adult learning theory is essential to ensure that learning is relevant, engaging, and applicable to professional contexts. This topic explores foundational learning theories such as andragogy (self-directed and goal-oriented learning), experiential learning (learning through doing), and constructivism (building on prior knowledge), and how they shape the design of effective training. Emphasis is placed on understanding the unique characteristics of adult learners including their need for practical application, autonomy, and relevance to real-world problems and on creating learning environments that promote active participation and self-direction. The topic also considers strategies for balancing learner independence with structured support, particularly when teaching complex concepts and skills such as bioinformatics, sequencing, or genomic interpretation.",Theories and principles that guide how adults learn and how to apply them in pathogen genomics training design.,,"Identify key adult learning theories, including andragogy, experiential learning, and constructivism, as they apply to pathogen genomics training. (K)","Explain how adult learning principles, such as self-directed learning and problem-based approaches, influence the design of effective pathogen genomics training. K)",Apply appropriate strategies to design and implement training activities that support self-directed learning in bioinformatics and genomics.,"Analyse different training scenarios to determine which adult learning approaches (e.g., experiential vs. structured guidance) will best address learners’ needs and contexts n complex bioinformatics and genomics training. (K)
","Evaluate the effectiveness of training modules by assessing learner engagement, skills outcomes, and the degree to which adult learning principles have been incorporated. (K)","Design a pathogen genomics training program that integrates adult learning principles, incorporating structured guidance, autonomy-building activities, and hands-on learning experiences. (K)
",
9.2 Instructional design models and frameworks,"Designing effective training in pathogen genomics relies on the thoughtful use of instructional models and frameworks to ensure that learning is purposeful, structured, and outcome-oriented. This topic explores key models such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) for developing training programmes, and the Kirkpatrick Model for evaluating impact from learner engagement to real-world practice. It also includes conceptual frameworks like Bloom’s Taxonomy, which supports the definition of learning goals across cognitive levels, and competency-based approaches that ensure alignment with skills required for practical application. The topic emphasises how to plan content that supports defined learning objectives, select suitable delivery methods, and develop assessment strategies that provide measurable evidence of learning. Learners will also gain experience in analysing the alignment between training goals, learning activities, and evaluation strategies, and in designing feedback mechanisms to drive continuous improvement. Ultimately, these models and frameworks help ensure that training in pathogen genomics is impactful, scalable, and directly applicable to real-world research, clinical, and public health contexts.",Instructional models and frameworks used to design outcome-based training and evaluate its effectiveness.,,"Identify key instructional design models, such as Bloom’s Taxonomy, ADDIE, and the Kirkpatrick Model, used in education and training (K)",Explain how instructional models and frameworks contribute to the creation of structured and measurable training. (K),Use instructional design principles to develop learning outcomes and align them with activities and assessments. (K),"Analyse existing training to determine whether learning objectives, content, and assessments are well-aligned (K)",Critically assess the effectiveness of pathogen genomics training using appropriate evaluation models and justify improvements.(K),"Design a module or course using instructional models and frameworks to produce measurable, outcome-based learning.(S)",
9.3 Evidence informed training strategies,"Training programs must integrate evidence-based educational strategies that align with research on how learners best acquire complex scientific concepts. Active learning methods, such as problem-based learning, flipped classrooms, and collaborative exercises, enhance engagement and retention in pathogen genomics education. Technology-enhanced learning, including online platforms, interactive tutorials, and virtual labs, allows participants to practice bioinformatics skills in real-world scenarios. Training should also incorporate peer learning and mentorship, enabling knowledge exchange between experienced researchers and early-career professionals.

Effective pathogen genomics training must be grounded in research-informed strategies that reflect how adults best engage with and retain complex scientific information. This topic explores the use of active learning approaches—such as problem-based learning, collaborative tasks, and flipped classrooms which enhance learner participation, critical thinking, and application of concepts. It also considers the value of technology-enhanced learning, including virtual labs, interactive simulations, and online modules that allow learners to practice bioinformatics skills in various contexts. To create deeper understanding and longer-term retention, programmes should be designed using evidence from educational research, incorporating peer learning, mentorship, and scaffolded instruction that supports both novice and experienced learners. This topic also addresses the selection and adaptation of facilitation techniques, use of group dynamics, and development of custom methods tailored to diverse learner profiles and training goals. By applying evidence-based approaches, educators can create learning environments that are engaging, inclusive, and responsive to the evolving needs of genomics professionals.",Evidence-based strategies and methods used to design effective and engaging learning experiences in pathogen genomics.,,Identify evidence informed strategies commonly used in adult education and genomics training.K),"Describe how active learning, peer mentoring, and technology-enhanced methods support learner engagement and retention.(K)","Provide a rationale for selecting a particular method, technique or material for achieving particular educational objectives and foster effective learning (K)","Examine different evidence based educational practices to determine most effective approaches to training in specific context such as learner needs, content complexity, and delivery context. (K)
",Justify the choice of specific methods and techniques by providing evidence for how a selected approach meets the educational goals in the given context (K),Design a genomics training programme that integrates research-informed and context-appropriate teaching and learning strategies. (K),
9.4 Inclusive training approaches,"Effective pathogen genomics training must accommodate the wide range of backgrounds, professional roles, and learning styles among participants, including clinicians, researchers, public health professionals, and bioinformaticians. This topic focuses on designing flexible and inclusive learning experiences that promote engagement, accessibility, and skill acquisition. It includes the use of varied formats such as in-person, online, and hybrid training; visual, hands-on, and discussion-based methods; and adaptive learning pathways that support learners at different levels of expertise. Aligned with Universal Design for Learning principles, it emphasises responsive training that enables all participants to progress according to their goals while maintaining rigour and relevance.","Adapting training formats, delivery methods, and learning activities to meet diverse learner needs and professional contexts in pathogen genomics.",,List the various instructional formats and delivery modes appropriate for pathogen genomics training. (K),"Explain how flexible and inclusive learning activities can support diverse backgrounds, abilities, and learning styles (K)","Apply inclusive design principles to develop training activities tailored to diverse learners in genomics. (K,S)","Analyse how different instructional methods, such as visual aids, interactive coding exercises, and structured discussions, impact learner engagement and knowledge retention in pathogen genomics training. (K,S)",Assess the inclusiveness and flexibility of a training programme based on learner feedback and participation patterns. (K),Design a flexible and inclusive pathogen genomics training  that integrates diverse instructional methods and learning pathways to ensure accessibility and engagement for all learners. (K),
9.5 Reflective practice and evaluating training,"Continuous improvement in pathogen genomics training requires reflective practice a process where trainers and learners critically assess their experiences to enhance learning outcomes. Feedback mechanisms, including pre- and post-training assessments, participant reflections, and trainer debriefings, help identify strengths and areas for improvement. Evaluation frameworks such as formative (ongoing) and summative (final) assessments ensure that learning objectives are met while providing data to refine course content. Reflective practice also involves trainers adapting methodologies based on learner feedback, emerging research, and evolving genomics technologies.","Combining reflection with structured evaluation to improve teaching effectiveness by critically assessing methods, learner impact, and outcomes using feedback, engagement, and success metrics.",,Acknowledge importance of reflective practice and identify key metrics for evaluating  effective training (K),Explain how reflective practices and structured evaluation contribute to improving training effectiveness (K),"Conduct reflective practice strategies, such as gathering feedback, observing learner engagement, and using formative and summative assessments, to improve training outcomes.(K,S)",Analyse various reflective practices and evaluation methods to understand their contributions to improving teaching methods (K),"Assess the impact of training methodologies on learner outcomes using metrics such as learner satisfaction, achievement of learning objectives, and overall program effectiveness. (K)","Design an adaptive evaluation framework that integrates reflective practice, learner feedback, and structured tools to ensure continuous improvement in pathogen genomics training.(K)",
9.6 Equity in pathogen genomics education,"Equitable access to pathogen genomics education is vital to fostering a globally representative and inclusive scientific workforce. This topic explores strategies to remove systemic barriers‚Äîsuch as those related to geography, cost, technological access, and language‚Äîthat hinder participation, particularly for learners from underrepresented or low-resource settings. It involves designing culturally relevant materials, offering hybrid and remote options, and ensuring diverse perspectives are reflected in training design, delivery, and leadership. Equity also includes policies and practices that actively promote inclusion, reduce bias, and provide support for all learners to thrive in genomics education and application.","Ensuring fair access, representation, and inclusion in pathogen genomics training through barrier removal and responsive programme design.",,List common barriers to learning and training. (K),Describe the importance of equitable access and representation in pathogen genomics training programmes. (K),"Implement equity-driven adjustments in a training programme to improve participation from underrepresented groups. (K,S,A)",Examine the learning and training practices to identify existing barriers and best ways to address them. (K),Evaluate the influence and effectiveness of equity-focused interventions in pathogen genomics education and justify the use of specific strategies to remove barriers. (K),"Develop an equity-centred framework for pathogen genomics training that enhances inclusion and accessibility at all stages from design to delivery. (K,A) ",
10. Capacity  Development and Programme Management,"Essential skills and knowledge required to develop, deliver, and evaluate effective training in pathogen genomics. Emphasizes evidence-based educational practices, adult learning principles, and inclusive training approaches to ensure that learners gain the competencies needed to apply genomics in research, clinical, and public health contexts. By integrating equity, innovation, and reflective practice, it ensures training programs are effective, accessible, and adaptable to diverse learners across different settings.
This domain emphasises the operational and strategic skills needed to develop and manage genomics programs, ensuring their scalability and long-term success.",,,,,,,,,
"10.1 Program design, development, and stakeholder engagement","This topic addresses the principles of designing, developing, and delivering genomics programs tailored to diagnostics, research, and public health needs. It emphasizes co-development approaches that involve key stakeholders, such as diagnostic labs, research institutions, public health agencies, and policymakers, to ensure the program aligns with regional and global priorities. Learners will explore how to define program goals, address local challenges, and design initiatives to strengthen capacity in genomic research, diagnostics, and epidemiological surveillance.
","Focuses on designing genomics programs for diagnostics, research, and public health through collaboration with diverse stakeholders.",,"Identify stakeholders and components required for designing genomics programs across research, diagnostics, and public health.(K)",Explain how stakeholder collaboration improves the relevance and delivery of genomics programs.(K),"Design a genomics program that addresses research, diagnostic or public health capacity development, integrating stakeholder input.(K)",Evaluate stakeholder input to refine genomics program objectives (K),Assess the feasibility and inclusivity of genomics programs designed for various applications. (K),Develop a co-designed framework for implementing genomics for specific applications and needs.(K),
10.2 Infrastructure and workflow development,"This topic explores the establishment of infrastructure and workflows for genomics programs, addressing the needs of diagnostic labs, research facilities, and public health agencies. It includes laboratory setup, IT support, and bioinformatics workflows tailored to genomic data processing for pathogen detection, variant analysis, and research studies. Learners will focus on scalable and adaptable workflows for use in diagnostics, outbreak investigations, and genomic research projects.","Covers the setup of infrastructure and workflows for genomics programs in diagnostics, research, and public health",,Recall infrastructure requirements for implementing genomic workflows in diagnostics and research.(K),Explain the importance of aligning infrastructure with program goals in diagnostics and research.(K),"Implement workflows for pathogen sequencing and genomic data analysis. (K,S)","Assess gaps in infrastructure and workflows for research and diagnostics programs.(K,S)",Evaluate the scalability and efficiency of workflows and pipelines. (K),"Develop integrated genomic workflows for diagnostics, research, and public health needs.(K,S)",
10.3 Sustainability and resource mobilisation,"This topic addresses strategies for ensuring the sustainability of genomics programs across diagnostics, research, and public health. It emphasizes securing funding, building partnerships, and developing long-term plans to address challenges such as AMR, emerging pathogens, and gaps in diagnostic and research capacity. Learners will explore approaches for integrating genomics into health systems while creating sustainable models for program delivery.","Focuses on resource mobilisation and sustainability planning for genomics programs in diagnostics, research, and public health.",,Identify funding and resource needs for sustaining genomics programs across diagnostics and research.(K),Explain how sustainability planning ensures long-term capacity for genomic diagnostics and research.(K),"Develop funding proposals to support genomic capacity develpment (K,S)","Assess resource needs and gaps in sustaining genomics capacity (K,S)",Evaluate strategies for ensuring the long-term sustainability of genomics programs. (K),"Design a comprehensive sustainability plan for genomics programs in diagnostics, research, and public health.(K)",
10.4 Program monitoring and evaluation,"This topic covers methods for monitoring and evaluating the effectiveness of genomics programs in diagnostics, research, and public health. Learners will explore frameworks for defining metrics, such as accuracy of genomic diagnostics, research outputs, and public health impact, and using these metrics to improve programs. Emphasis is placed on creating feedback loops and demonstrating program value to stakeholders.","Covers monitoring and evaluating genomics programs for diagnostics, research, and public health.
",,Recall metrics used to monitor the success of genomics programs in various settings.(K),Explain the importance of evaluation and how it improves the delivery of genomics programs.(K),"Use evaluation tools to collect outcomes and impact data of genomics programs (K,S)",Identify trends in evaluation data to refine genomics program strategies.(K),"Assess the overall impact of genomics programs on diagnostics, research, and public health.(K)",Develop a monitoring and evaluation framework for genomics programs. (K),
